TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME
TWENTYFOURGO,ACTIVITIES,ID
TWENTYFOURGO,ACTIVITIES,AFFECTED_TYPE
TWENTYFOURGO,ACTIVITIES,AFFECTED_ID
TWENTYFOURGO,ACTIVITIES,ACTION
TWENTYFOURGO,ACTIVITIES,USER_ID
TWENTYFOURGO,ACTIVITIES,OBJ_JSON
TWENTYFOURGO,ACTIVITIES,CREATED_AT
TWENTYFOURGO,ACTIVITIES,UPDATED_AT
TWENTYFOURGO,ACTIVITIES,DELETED_AT
TWENTYFOURGO,ACTIVITIES,EMPLOYEE_NUMBER
TWENTYFOURGO,ACTIVITIES,AUDT_INGEST_CREATE_DATE
TWENTYFOURGO,ACTIVITIES,AUDT_INGEST_UPDATE_DATE
TWENTYFOURGO,ACTIVITIES,AUDT_INGEST_CREATE_USER_ID
TWENTYFOURGO,ACTIVITIES,AUDT_INGEST_CREATE_UPDATE_ID
TWENTYFOURGO,ACTIVITIES,AUDT_INGEST_SRC_SYS_CODE
